Id,Predicted
0,0
1,0
2,0
3,1
4,0
5,0
6,1
7,0
8,1
9,1
10,1
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,1
72,1
73,0
74,1
75,0
76,0
77,1
78,0
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,1
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,1
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,1
119,0
120,1
121,0
122,1
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,1
143,1
144,1
145,1
146,0
147,0
148,1
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,0
179,1
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,0
219,1
220,1
221,0
222,0
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,1
260,1
261,1
262,1
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,1
281,1
282,0
283,1
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,1
295,1
296,1
297,0
298,1
299,0
300,0
301,0
302,1
303,0
304,0
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,1
319,0
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,1
337,0
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,0
353,1
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,0
362,1
363,1
364,0
365,1
366,0
367,0
368,1
369,1
370,1
371,0
372,0
373,0
374,0
375,0
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,1
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,1
396,1
397,1
398,1
399,0
400,1
401,0
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,1
412,1
413,0
414,0
415,1
416,0
417,1
418,0
419,1
420,1
421,1
422,0
423,1
424,0
425,1
426,1
427,1
428,0
429,0
430,1
431,0
432,0
433,0
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,1
445,0
446,1
447,1
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,0
456,0
457,1
458,0
459,1
460,1
461,0
462,1
463,0
464,0
465,1
466,0
467,0
468,1
469,1
470,0
471,1
472,0
473,0
474,1
475,0
476,0
477,1
478,1
479,0
480,1
481,1
482,1
483,1
484,1
485,0
486,0
487,1
488,1
489,0
490,0
491,1
492,0
493,1
494,1
495,1
496,0
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,0
507,1
508,0
509,0
510,1
511,0
512,0
513,1
514,1
515,0
516,0
517,0
518,1
519,1
520,0
521,1
522,1
523,1
524,1
525,1
526,0
527,0
528,0
529,0
530,0
531,0
