Id,Predicted
0,anger
1,non-neutral
2,non-neutral
3,anger
4,anger
5,non-neutral
6,fear
7,anger
8,non-neutral
9,non-neutral
10,non-neutral
11,anger
12,disgust
13,non-neutral
14,non-neutral
15,anger
16,fear
17,neutral
18,neutral
19,non-neutral
20,sadness
21,non-neutral
22,sadness
23,anger
24,neutral
25,anger
26,anger
27,neutral
28,anger
29,non-neutral
30,sadness
31,non-neutral
32,surprise
33,anger
34,anger
35,anger
36,sadness
37,neutral
38,surprise
39,fear
40,anger
41,neutral
42,non-neutral
43,non-neutral
44,anger
45,anger
46,neutral
47,anger
48,anger
49,non-neutral
50,anger
51,non-neutral
52,anger
53,anger
54,anger
55,anger
56,anger
57,anger
58,sadness
59,anger
60,anger
61,neutral
62,fear
63,non-neutral
64,anger
65,neutral
66,non-neutral
67,non-neutral
68,anger
69,sadness
70,fear
71,disgust
72,disgust
73,non-neutral
74,anger
75,anger
76,anger
77,anger
78,fear
79,anger
80,neutral
81,non-neutral
82,anger
83,anger
84,anger
85,disgust
86,surprise
87,surprise
88,surprise
89,anger
90,non-neutral
91,anger
92,anger
93,anger
94,anger
95,neutral
96,anger
97,anger
98,anger
99,non-neutral
100,anger
101,non-neutral
102,neutral
103,sadness
104,non-neutral
105,sadness
106,anger
107,neutral
108,neutral
109,anger
110,non-neutral
111,disgust
112,non-neutral
113,anger
114,neutral
115,anger
116,neutral
117,sadness
118,anger
119,anger
120,anger
121,neutral
122,anger
123,sadness
124,non-neutral
125,non-neutral
126,non-neutral
127,anger
128,disgust
129,anger
130,sadness
131,non-neutral
132,anger
133,non-neutral
134,neutral
135,anger
136,anger
137,neutral
138,anger
139,sadness
140,sadness
141,sadness
142,anger
143,non-neutral
144,neutral
145,non-neutral
146,non-neutral
147,neutral
148,non-neutral
149,non-neutral
150,non-neutral
151,non-neutral
152,anger
153,anger
154,anger
155,anger
156,anger
157,anger
158,anger
159,anger
160,sadness
161,anger
162,anger
163,anger
164,non-neutral
165,non-neutral
166,sadness
167,neutral
168,non-neutral
169,sadness
170,sadness
171,anger
172,anger
173,neutral
174,anger
175,sadness
176,joy
177,neutral
178,anger
179,anger
180,anger
181,anger
182,sadness
183,anger
184,disgust
185,non-neutral
186,neutral
187,anger
188,anger
189,non-neutral
190,disgust
191,anger
192,anger
193,anger
194,non-neutral
195,sadness
196,anger
197,anger
198,non-neutral
199,anger
200,anger
201,anger
202,anger
203,anger
204,sadness
205,disgust
206,non-neutral
207,sadness
208,anger
209,sadness
210,anger
211,non-neutral
212,sadness
213,anger
214,surprise
215,non-neutral
216,fear
217,neutral
218,anger
219,neutral
220,neutral
221,anger
222,anger
223,anger
224,anger
225,anger
226,surprise
227,neutral
228,anger
229,anger
230,sadness
231,non-neutral
232,neutral
233,fear
234,neutral
235,non-neutral
236,neutral
237,non-neutral
238,non-neutral
239,anger
240,anger
241,anger
242,disgust
243,non-neutral
244,neutral
245,surprise
246,fear
247,non-neutral
248,disgust
249,neutral
250,fear
251,anger
252,non-neutral
253,non-neutral
254,anger
255,fear
256,non-neutral
257,fear
258,sadness
259,sadness
260,anger
261,anger
262,non-neutral
263,anger
264,anger
265,anger
266,anger
267,anger
268,neutral
269,fear
270,disgust
271,disgust
272,disgust
273,anger
274,sadness
275,anger
276,sadness
277,non-neutral
278,anger
279,anger
280,non-neutral
281,neutral
282,anger
283,disgust
284,anger
285,non-neutral
286,non-neutral
287,anger
288,anger
289,non-neutral
290,anger
291,non-neutral
292,anger
293,anger
294,fear
295,disgust
296,anger
297,disgust
298,disgust
299,surprise
300,non-neutral
301,sadness
302,neutral
303,anger
304,anger
305,non-neutral
306,anger
307,sadness
308,neutral
309,anger
310,anger
311,sadness
312,sadness
313,disgust
314,anger
315,anger
316,anger
317,sadness
318,anger
319,disgust
320,anger
321,anger
322,non-neutral
323,sadness
324,disgust
325,non-neutral
326,non-neutral
327,non-neutral
328,anger
329,neutral
330,non-neutral
331,non-neutral
332,disgust
333,sadness
334,anger
335,non-neutral
336,fear
337,sadness
338,non-neutral
339,anger
340,fear
341,sadness
342,neutral
343,anger
344,anger
345,non-neutral
346,sadness
347,disgust
348,anger
349,neutral
350,non-neutral
351,anger
352,non-neutral
353,anger
354,anger
355,anger
356,anger
357,anger
358,anger
359,anger
360,anger
361,non-neutral
362,non-neutral
363,anger
364,non-neutral
